Rank,Year,Title,Artist,Spotify_ID
66,2014,Dirt,Florida Georgia Line,5CXnIPD6rTjszYYQm6fY2P
67,2014,Love Runs Out,OneRepublic,5BJSZocnCeSNeYMj3iVqM7
68,2014,Bottoms Up,Brantley Gilbert,0HZUp8fm9fh1Mitqx4CIOr
69,2014,Shower,Becky G,3DmW6y7wTEYHJZlLo1r6XJ
70,2014,Me And My Broken Heart,Rixton,1oew3nFNY3vMacJAsvry0S
71,2014,Animals,Martin Garrix,0A9mHc7oYUoCECqByV8cQR
72,2014,Lifestyle,Rich Gang FeaturingYoung Thug& Rich Homie Quan,
73,2014,American Kids,Kenny Chesney,1dgWTMoHwTUnQhOQ8SR5fV
74,2014,Brave,Sara Bareilles,6Uy6K3KdmUdAfelUp0SeXn
75,2014,Sweater Weather,The Neighbourhood,2QjOHCTQ1Jl3zawyYOpxh6
76,2014,Leave The Night On,Sam Hunt,3wx2kQWPn9p5UppQbNhPAk
77,2014,New Flame,Chris BrownFeaturingUsher&Rick Ross,
78,2014,Love Never Felt So Good,Michael Jackson &Justin Timberlake,48td6xvpokdYwvbl3JIiXP
79,2014,Drunk On A Plane,Dierks Bentley,1soxUgYIZb1qx1c7o1Lc7z
80,2014,Birthday,Katy Perry,2xLOMHjkOK8nzxJ4r6yOKR
81,2014,Bartender,Lady Antebellum,1qFQKFt9fp1LU9QsvFbyPS
82,2014,La La La,Naughty Boy FeaturingSam Smith,
83,2014,Blurred Lines,Robin ThickeFeaturing T.I. + Pharrell,
84,2014,Do What U Want,Lady GagaFeaturingR. Kelly,
85,2014,Can't Remember To Forget You,ShakiraFeaturingRihanna,
86,2014,Amnesia,5 Seconds of Summer,1JCCdiru7fhstOIF4N7WJC
87,2014,No Mediocre,T.I. FeaturingIggy Azalea,
88,2014,Come With Me Now,KONGOS,2kWowW0k4oFymhkr7LmvzO
89,2014,Believe Me,Lil WayneFeaturingDrake,
90,2014,23,"Mike Will Made-ItFeaturingMiley Cyrus,Wiz Khalifa&Juicy J",
91,2014,Beachin',Jake Owen,5dNGORzxFb5z3v7vSAFkTU
92,2014,White Walls,Macklemore & Ryan Lewis FeaturingScHoolboy Q&Hollis,1o1Pny4JcE3LdUBeBedbm6
93,2014,She Looks So Perfect,5 Seconds of Summer,1gugDOSMREb34Xo0c1PlxM
94,2014,Stay The Night,ZeddFeaturingHayley Williams,
95,2014,Partition,Beyonce,5hgnY0mVcVetszbb85qeDg
96,2014,Studio,ScHoolboy QFeaturingBJ the Chicago Kid,
97,2014,0 To 100 / The Catch Up,Drake,4jtyUzZm9WLc2AdaJ1dso7
98,2014,I Don't Dance,Lee Brice,5aj0xPGiEUN3aI2oOYu14S
99,2014,Somethin' Bad,Miranda LambertDuet WithCarrie Underwood,
100,2014,Adore You,Miley Cyrus,5AnCLGg35ziFOloEnXK4uu
1,2015,Uptown Funk!,Mark RonsonFeaturingBruno Mars,
2,2015,Thinking Out Loud,Ed Sheeran,1Slwb6dOYkBlWal1PGtnNg
3,2015,See You Again,Wiz KhalifaFeaturingCharlie Puth,
4,2015,Trap Queen,Fetty Wap,2d8JP84HNLKhmd6IYOoupQ
5,2015,Sugar,Maroon 5,2iuZJX9X9P0GKaE93xcPjk
6,2015,Shut Up And Dance,Walk the Moon,4kbj5MwxO1bq9wjT5g9HaA
7,2015,Blank Space,Taylor Swift,1p80LdxRV74UKvL8gnD7ky
8,2015,Watch Me,Silento,5RIVoVdkDLEygELLCniZFr
9,2015,Earned It (Fifty Shades Of Grey),The Weeknd,4frLb7nWtsz2ymBE6k2GRP
10,2015,The Hills,The Weeknd,7fBv7CLKzipRk6EC6TWHOB
11,2015,Cheerleader,OMI,023OVLNzXhX0j7CxswUt6D
12,2015,Can't Feel My Face,The Weeknd,22VdIZQfgXJea34mQxlt81
13,2015,Love Me Like You Do,Ellie Goulding,3zHq9ouUJQFQRf3cm1rRLu
14,2015,Take Me To Church,Hozier,1CS7Sd1u5tWkstBhpssyjP
15,2015,Bad Blood,Taylor SwiftFeaturingKendrick Lamar,
16,2015,Lean On,Major LazerXDJ SnakeFeaturingMo,
17,2015,Want To Want Me,Jason Derulo,7oGZAicScQt96OAW4AruYy
18,2015,Shake It Off,Taylor Swift,5xTtaWoae3wi06K5WfVUUH
19,2015,Where Are U Now,Skrillex&DiploWithJustin Bieber,
20,2015,Fight Song,Rachel Platten,37f4ITSlgPX81ad2EvmVQr
21,2015,679,Fetty WapFeaturingRemy Boyz,
22,2015,Lips Are Movin,Meghan Trainor,6gj08XDlv9Duc2fPOxUmVD
23,2015,Worth It,Fifth HarmonyFeaturingKid Ink,
24,2015,Post To Be,OmarionFeaturingChris Brown&Jhene Aiko,
25,2015,"Honey, I'm Good.",Andy Grammer,4Tt6GiWS2V9sQjZjS2xjp2
26,2015,I'm Not The Only One,Sam Smith,7795WJLVKJoAyVoOtCWqXN
27,2015,Good For You,Selena GomezFeaturingA$AP Rocky,
28,2015,All About That Bass,Meghan Trainor,5jE48hhRu8E6zBDPRSkEq7
29,2015,Style,Taylor Swift,4lIxdJw6W3Fg4vUIYCB0S5
30,2015,Hotline Bling,Drake,0wwPcA6wtMf6HUMpIRdeP7
31,2015,Hey Mama,"David GuettaFeaturingNicki Minaj,Bebe Rexha&Afrojack",
32,2015,G.D.F.R.,Flo RidaFeaturingSage The Gemini&Lookas,
33,2015,What Do You Mean?,Justin Bieber,4B0JvthVoAAuygILe3n4Bs
34,2015,Photograph,Ed Sheeran,6fxVffaTuwjgEk5h9QyRjy
35,2015,Hello,Adele,62PaSfnXSMyLshYJrlTuL3
36,2015,Stitches,Shawn Mendes,5jsw9uXEGuKyJzs0boZ1bT
37,2015,Talking Body,Tove Lo,2tpfxAXiI52znho4WE3XFA
38,2015,Jealous,Nick Jonas,2RqtfcLB7iOZj0zYB8Auhu
39,2015,Time Of Our Lives,Pitbull&Ne-Yo,2bJvI42r8EF3wxjOuDav4r
